Date,Hours From Start,Area,MayHavePlant
2024-03-22_1405,0,0,False
2024-03-22_1505,1,0,False
2024-03-22_1605,2,0,False
2024-03-22_1705,3,0,False
2024-03-22_1805,4,0,False
2024-03-22_1905,5,0,False
2024-03-26_0905,91,0,False
2024-03-28_1905,149,0,False
2024-03-28_2005,150,0,False
2024-03-28_2105,151,0,False
2024-03-28_2205,152,0,False
2024-03-28_2305,153,0,False
2024-03-29_0005,154,0,False
2024-03-29_0105,155,1,False
2024-03-29_0205,156,0,False
2024-03-29_0305,157,0,False
2024-03-29_0405,158,0,False
2024-03-29_0505,159,0,False
2024-03-29_0605,160,1,False
2024-03-29_0705,161,0,False
2024-03-29_0805,162,0,False
2024-03-29_0905,163,0,False
2024-03-29_1005,164,0,False
2024-03-29_1105,165,0,False
2024-03-29_1205,166,0,False
2024-03-29_1305,167,331,False
2024-03-29_1405,168,393,False
2024-03-29_1505,169,483,False
2024-03-29_1605,170,336,False
2024-03-29_1705,171,331,False
2024-03-29_1805,172,424,False
2024-03-29_1905,173,589,False
2024-03-29_2005,174,544,False
2024-03-29_2105,175,548,False
2024-03-29_2205,176,435,False
2024-03-29_2305,177,458,False
2024-03-30_0005,178,341,False
2024-03-30_0105,179,647,False
2024-03-30_0205,180,545,False
2024-03-30_0305,181,492,False
2024-03-30_0405,182,0,False
2024-03-30_0505,183,389,False
2024-03-30_0605,184,0,False
2024-03-30_0705,185,0,False
2024-03-30_0805,186,0,False
2024-03-30_0905,187,250,False
2024-03-30_1005,188,334,False
2024-03-30_1105,189,337,False
2024-03-30_1205,190,439,False
2024-03-30_1305,191,526,False
2024-03-30_1405,192,547,False
2024-03-30_1505,193,545,False
2024-03-30_1605,194,464,False
2024-03-30_1705,195,348,False
2024-03-30_1805,196,303,False
2024-03-30_1905,197,235,False
2024-03-30_2005,198,0,False
2024-03-30_2105,199,277,False
2024-03-30_2205,200,354,False
2024-03-30_2305,201,178,False
2024-03-31_0005,202,358,False
2024-03-31_0105,203,406,False
2024-03-31_0205,204,233,False
2024-03-31_0305,205,317,False
2024-03-31_0405,206,394,False
2024-03-31_0505,207,351,False
2024-03-31_0605,208,229,False
2024-03-31_0705,209,163,False
2024-03-31_0805,210,234,False
2024-03-31_0905,211,449,False
2024-03-31_1005,212,848,False
2024-03-31_1105,213,588,False
2024-03-31_1205,214,565,False
2024-03-31_1305,215,496,False
2024-03-31_1405,216,284,False
2024-03-31_1505,217,486,False
2024-03-31_1605,218,514,False
2024-03-31_1705,219,224,False
2024-03-31_1805,220,309,False
2024-03-31_1905,221,0,False
2024-03-31_2005,222,383,False
2024-03-31_2105,223,0,False
2024-03-31_2205,224,0,False
2024-03-31_2305,225,483,False
2024-04-01_0005,226,509,False
2024-04-01_0105,227,352,False
2024-04-01_0205,228,587,False
2024-04-01_0305,229,268,False
2024-04-01_0405,230,330,False
2024-04-01_0505,231,506,False
2024-04-01_0605,232,556,False
2024-04-01_0705,233,532,False
2024-04-01_0805,234,654,False
2024-04-01_0905,235,221,False
2024-04-01_1005,236,379,False
2024-04-01_1105,237,387,False
2024-04-01_1305,239,353,False
2024-04-01_1405,240,421,False
2024-04-01_1505,241,504,False
