Date,Hours From Start,Area,MayHavePlant
2023-05-22_1205,0,0,False
2023-05-22_1305,1,0,False
2023-05-22_1405,2,0,False
2023-05-22_1505,3,0,False
2023-05-22_1605,4,0,False
2023-05-22_1705,5,0,False
2023-05-22_1805,6,0,False
2023-05-22_1905,7,0,False
2023-05-22_2005,8,0,False
2023-05-22_2105,9,0,False
2023-05-22_2205,10,0,False
2023-05-22_2305,11,0,False
2023-05-23_0005,12,0,False
2023-05-23_0105,13,0,False
2023-05-23_0205,14,0,False
2023-05-23_0305,15,0,False
2023-05-23_0405,16,0,False
2023-05-23_0505,17,0,False
2023-05-23_0605,18,0,False
2023-05-23_0705,19,0,False
2023-05-23_0805,20,0,False
2023-05-23_0905,21,0,False
2023-05-23_1121,23,0,False
2024-01-02_1303,5401,174,False
2024-03-01_0805,6813,0,False
2024-03-01_0905,6814,0,False
2024-03-01_1005,6815,0,False
2024-03-01_1105,6816,0,False
2024-03-01_1205,6817,1,False
2024-03-01_1305,6818,1,False
2024-03-01_1405,6819,0,False
2024-03-01_1505,6820,0,False
2024-03-01_1605,6821,0,False
2024-03-01_1705,6822,3,False
2024-03-01_1805,6823,1,False
2024-03-01_1905,6824,5,False
2024-03-01_2005,6825,0,False
2024-03-01_2105,6826,0,False
2024-03-01_2205,6827,0,False
2024-03-01_2305,6828,0,False
2024-03-02_0005,6829,1,False
2024-03-02_0105,6830,1,False
2024-03-02_0205,6831,1,False
2024-03-02_0305,6832,0,False
2024-03-02_0405,6833,0,False
2024-03-02_0505,6834,0,False
2024-03-02_0605,6835,0,False
2024-03-02_0705,6836,0,False
2024-03-02_0805,6837,0,False
2024-03-02_0905,6838,0,False
2024-03-02_1005,6839,0,False
2024-03-02_1105,6840,0,False
2024-03-02_1205,6841,0,False
2024-03-02_1305,6842,0,False
2024-03-02_1405,6843,0,False
2024-03-02_1505,6844,0,False
2024-03-02_1605,6845,0,False
2024-03-02_1705,6846,0,False
2024-03-02_1805,6847,0,False
2024-03-02_1905,6848,0,False
2024-03-02_2005,6849,0,False
2024-03-02_2105,6850,0,False
2024-03-02_2205,6851,0,False
2024-03-02_2305,6852,0,False
2024-03-03_0005,6853,0,False
2024-03-03_0105,6854,0,False
2024-03-03_0205,6855,1,False
2024-03-03_0305,6856,0,False
2024-03-03_0405,6857,0,False
2024-03-03_0505,6858,1,False
2024-03-03_0605,6859,0,False
2024-03-03_0705,6860,0,False
2024-03-03_0805,6861,0,False
2024-03-03_0905,6862,0,False
2024-03-03_1005,6863,0,False
2024-03-03_1105,6864,0,False
2024-03-03_1205,6865,0,False
2024-03-03_1305,6866,0,False
2024-03-03_1405,6867,1,False
2024-03-03_1505,6868,0,False
2024-03-03_1605,6869,0,False
2024-03-03_1705,6870,0,False
2024-03-03_1805,6871,1,False
2024-03-03_1905,6872,0,False
2024-03-03_2005,6873,0,False
2024-03-03_2105,6874,0,False
2024-03-03_2205,6875,0,False
2024-03-03_2305,6876,0,False
2024-03-04_0005,6877,0,False
2024-03-04_0105,6878,0,False
2024-03-04_0205,6879,1,False
2024-03-04_0305,6880,0,False
2024-03-04_0405,6881,0,False
2024-03-04_0505,6882,0,False
2024-03-04_0605,6883,0,False
2024-03-04_0705,6884,0,False
2024-03-04_0805,6885,0,False
2024-03-04_0905,6886,0,False
2024-03-04_1005,6887,0,False
2024-03-04_1105,6888,0,False
2024-03-04_1205,6889,0,False
2024-03-04_1305,6890,0,False
2024-03-04_1405,6891,0,False
2024-03-04_1505,6892,0,False
2024-03-04_1605,6893,0,False
2024-03-04_1705,6894,0,False
2024-03-04_1805,6895,0,False
2024-03-04_1905,6896,0,False
2024-03-04_2005,6897,0,False
2024-03-04_2105,6898,0,False
2024-03-04_2205,6899,0,False
2024-03-04_2305,6900,0,False
2024-03-05_0005,6901,0,False
2024-03-05_0105,6902,0,False
2024-03-05_0205,6903,0,False
2024-03-05_0305,6904,2,False
2024-03-05_0405,6905,0,False
2024-03-05_0505,6906,0,False
2024-03-05_0605,6907,2,False
2024-03-05_0705,6908,0,False
2024-03-05_0805,6909,0,False
2024-03-05_0905,6910,0,False
2024-03-05_1005,6911,0,False
2024-03-05_1105,6912,0,False
2024-03-05_1205,6913,0,False
2024-03-05_1305,6914,0,False
2024-03-05_1405,6915,0,False
2024-03-05_1505,6916,0,False
2024-03-05_1605,6917,3,False
2024-03-05_1705,6918,0,False
2024-03-05_1805,6919,0,False
2024-03-05_1905,6920,0,False
2024-03-05_2005,6921,0,False
2024-03-05_2105,6922,0,False
2024-03-05_2205,6923,0,False
2024-03-05_2305,6924,0,False
2024-03-06_0005,6925,0,False
2024-03-06_0105,6926,0,False
2024-03-06_0205,6927,0,False
2024-03-06_0305,6928,0,False
2024-03-06_0405,6929,0,False
2024-03-06_0505,6930,42,False
2024-03-06_0605,6931,0,False
2024-03-06_0705,6932,0,False
2024-03-06_0805,6933,0,False
2024-03-06_0905,6934,0,False
2024-03-06_1005,6935,0,False
2024-03-06_1105,6936,0,False
2024-03-06_1205,6937,0,False
2024-03-06_1305,6938,1,False
2024-03-06_1405,6939,0,False
2024-03-06_1505,6940,0,False
2024-03-06_1605,6941,1,False
2024-03-06_1705,6942,0,False
2024-03-06_1805,6943,0,False
2024-03-06_1905,6944,0,False
2024-03-06_2005,6945,1,False
2024-03-06_2105,6946,0,False
2024-03-06_2205,6947,0,False
2024-03-06_2305,6948,0,False
2024-03-07_0005,6949,1,False
2024-03-07_0105,6950,0,False
2024-03-07_0205,6951,0,False
2024-03-07_0305,6952,2,False
2024-03-07_0405,6953,0,False
2024-03-07_0505,6954,0,False
2024-03-07_0605,6955,0,False
2024-03-07_0705,6956,0,False
2024-03-07_0805,6957,0,False
2024-03-07_0905,6958,0,False
2024-03-07_1005,6959,0,False
2024-03-07_1105,6960,0,False
2024-03-07_1205,6961,0,False
2024-03-07_1305,6962,0,False
